applicationId,enabled,language,os,region,date,userCount
0RDCKCHVJ7TH,,,,,2024-09-01,15
0RDCKCHVJ7TH,,,,,2024-09-08,37
0RDCKCHVJ7TH,,,,,2024-09-15,78
0RDCKCHVJ7TH,,,,,2024-09-22,104
0RDCKCHVJ7TH,,,,,2024-09-29,166
0RDCKCHVJ7TH,,,,,2024-10-06,183
0RDCKCHVJ7TH,,,,,2024-10-13,200
0RDCKCHVJ7TH,,,,,2024-10-20,266
0RDCKCHVJ7TH,,,,,2024-10-27,266
0RDCKCHVJ7TH,,,,,2024-11-03,308
0RDCKCHVJ7TH,,,,,2024-11-10,333
0RDCKCHVJ7TH,,,,,2024-11-17,369
0RDCKCHVJ7TH,,,,,2024-11-24,424
0RDCKCHVJ7TH,,,,,2024-12-01,453
0RDCKCHVJ7TH,,,,,2024-12-08,538
0RDCKCHVJ7TH,,,,,2024-12-15,537
0RDCKCHVJ7TH,,,,,2024-12-22,563
0RDCKCHVJ7TH,,,,,2024-12-29,574
0RDCKCHVJ7TH,,,,,2025-01-05,600
0RDCKCHVJ7TH,,,,,2025-01-12,647
0RDCKCHVJ7TH,,,,,2025-01-19,706
0RDCKCHVJ7TH,,,,,2025-01-26,713
0RDCKCHVJ7TH,,,,,2025-02-02,752
0RDCKCHVJ7TH,,,,,2025-02-09,777
0RDCKCHVJ7TH,,,,,2025-02-16,848
0RDCKCHVJ7TH,,,,,2025-02-23,896
0RDCKCHVJ7TH,,,,,2025-03-02,917
0RDCKCHVJ7TH,,,,,2025-03-09,968
0RDCKCHVJ7TH,,,,,2025-03-16,1059
0RDCKCHVJ7TH,,,,,2025-03-23,1118
0RDCKCHVJ7TH,,,,,2025-03-30,1156
0RDCKCHVJ7TH,,,,,2025-04-06,1340
0RDCKCHVJ7TH,,,,,2025-04-13,1388
0RDCKCHVJ7TH,,,,,2025-04-20,1418
0RDCKCHVJ7TH,,,,,2025-04-27,1445
0RDCKCHVJ7TH,,,,,2025-05-04,1517
0RDCKCHVJ7TH,,,,,2025-05-11,1572
0RDCKCHVJ7TH,,,,,2025-05-18,1679
0RDCKCHVJ7TH,,,,,2025-05-25,1621
0RDCKCHVJ7TH,,,,,2025-06-01,1752
0RDCKCHVJ7TH,,,,,2025-06-08,1752
0RDCKCHVJ7TH,,,,,2025-06-15,2180
0RDCKCHVJ7TH,,,,,2025-06-22,2081
0RDCKCHVJ7TH,,,,,2025-06-29,2098
0RDCKCHVJ7TH,,,,,2025-07-06,2126
0RDCKCHVJ7TH,,,,,2025-07-13,2133
0RDCKCHVJ7TH,,,,,2025-07-20,2135
0RDCKCHVJ7TH,,,,,2025-07-27,2167
0RDCKCHVJ7TH,,,,,2025-08-03,2119
0RDCKCHVJ7TH,,,,,2025-08-10,2101
0RDCKCHVJ7TH,,,,,2025-08-17,1993
0RDCKCHVJ7TH,,,,,2025-08-24,1969
0RDCKCHVJ7TH,,,,,2025-08-31,2020